URL,post_age_weeks,views,likes,tags,no_of_skills,software_used,csv_file
https://www.artstation.com/artwork/Ze90b0,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/3qPkmm,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/NGYKlb,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/kl1RJl,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/8wyoGn,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/kl1106,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/LevyVl,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/Jez5Vv,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/RnOVzW,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
https://www.artstation.com/artwork/vJ35xE,0,0,0,[],0,[],src/Cleanup/Scraper/Artwork_variables.csv
